SAMPLE_ID,URL,TEXT,HEIGHT,WIDTH,LICENSE,NSFW,similarity
204828004856.0,http://content2.stocklayouts.com/images/medviews/FN0282301-M.jpg?v=20140517,Accounting & Tax Services - Tri Fold Brochure Template,280.0,174.0,?,UNLIKELY,0.3860621750354767
3271272012076.0,http://originalartcover.com/wp-content/photos/Ghost-Rider-Spanish-Edition-4-Painted-COVER-Original-Art-Lopez-Espi-1981-02-qq.jpg,Ghost Rider (Spanish Edition) #4 Painted COVER (Original Art) Lopez Espi 1981,250.0,375.0,?,UNLIKELY,0.31714561581611633
2807240015421.0,https://i2.wp.com/www.gypsysols.com/wp-content/uploads/2018/05/la-fortuna-waterfall.jpg?fit=640%2C480&amp;ssl=1,la fortuna waterfall,640.0,480.0,?,UNLIKELY,0.3187849819660187
4148467015416.0,https://cdn.shopify.com/s/files/1/1076/6608/products/AML0158_100x.jpg?v=1569081596,Gold Sheep,100.0,100.0,?,UNLIKELY,0.3039892911911011
673832000053.0,http://prodimage.images-bn.com/pimages/9780471121367_p0_v4_s192x300.jpg,New Financial Instruments / Edition 2,192.0,256.0,?,UNLIKELY,0.3635617196559906
2629505022171.0,https://cdn3.bigcommerce.com/s-y1epbhg/products/258/images/4502/58_GO20__60202.1457559483.365.365.jpg?c=2,"""Life Ring Buoy 20"""" Orange Cal June - 58-GO20""",365.0,274.0,?,UNLIKELY,0.3853272497653961
3800618009440.0,https://did3hrbuiooet.cloudfront.net/media/movies/2016/07/20/12297-716718096-9599602017-661312137-large-400x570.jpg,Heavy Metal 2000,400.0,570.0,?,UNLIKELY,0.318971186876297
722261008087.0,https://thumbs.dreamstime.com/t/panorama-fantastic-namibia-moonscape-landscape-hardap-region-54394305.jpg,Panorama of fantastic Namibia moonscape landscape Royalty Free Stock Photo,489.0,160.0,?,UNLIKELY,0.3235834240913391
1984366001253.0,https://img.elo7.com.br/product/244x194/3563D9/anel-de-vidro-exclusive-glass-ring.jpg,Anel de Vidro / Exclusive Glass Ring,244.0,194.0,?,UNLIKELY,0.30004817247390747
1032467011600.0,"https://flatmates-res.cloudinary.com/image/upload/c_scale,f_auto,h_400,q_auto/fyhn4rciex0bxebeeowj.jpg","$160, Share-house, 3 bathrooms, Clayton Road, Clayton VIC 3168",711.0,400.0,?,UNLIKELY,0.3192305266857147
3724486017473.0,https://radiostudent.si/sites/default/files/styles/thumbnail_w530/public/slike/2020-02-09-balkan-world-music-chart-2019-109474.jpg?itok=WnEnXET9,Petroloukas Halkias & Vasilis Kostas: The Soul of Epirus,610.0,534.0,?,UNLIKELY,0.41989609599113464
3924314002440.0,https://i2.wp.com/cpwoodfloors.com/wp-content/uploads/2011/12/Wood-floor-moisture-problems.jpg?strip=info,What Is Required To Create The Finest Flooring In The,960.0,720.0,?,UNLIKELY,0.30494582653045654
20005031572.0,http://media-cdn.tripadvisor.com/media/photo-l/02/2d/82/52/church-s-limestone-altar.jpg,church's limestone altar,150.0,150.0,?,UNLIKELY,0.3220060467720032
113254004247.0,http://en.visonerv.com/mm/M11710/M11710.1.jpg,2008 HART CART 4X4 UTV FOR SALE,300.0,225.0,?,UNLIKELY,0.3201955258846283
181302000775.0,https://thumbs.dreamstime.com/t/luxury-rv-bathroom-motorhome-interior-large-coach-38800319.jpg,Luxury RV Bathroom Royalty Free Stock Images,240.0,160.0,?,UNLIKELY,0.3571891486644745
